B-01,B-02,B-03,B-04,B-05,B-06,B-07,B-08,B-09,B-10,B-11,B-12,B-13,B-14,B-15,B-16,B-17,B-18,B-19,B-20,B-21,B-22,B-23,B-24,B-25,B-26,B-27,B-28,B-29,B-30,B-31,B-32,B-33,B-34,B-35,B-36,B-37,Batch name,Batch CIE L,Batch CIE a,Batch CIE b,CIE DL,CIE Da,CIE Db,CIE DE,Findings
,1.0,,,,,,,,2.0,,0.05,,,,,,,,,,,,,,,,,,,,,0.004,,,,,2,65.44,13.45,44.29,0.25,-0.78,-2.13,2.29,1
,1.0,,,,,,,,1.0,,0.07,,,,,,,,,,,,,,,,,,,,,0.005,,,,,3,65.32,15.72,47.67,0.13,1.5,1.25,1.96,1
,1.0,,,,,,,,0.8,,0.05,,,,,,,,,,,,,,,,,,,,,0.006,,,,,4,65.57,17.47,47.18,0.38,3.25,0.76,3.36,1
,1.0,,,,,,,,0.95,,0.065,,,,,,,,,,,,,,,,,,,,,0.00525,,,,,5,65.45,16.65,47.39,0.26,2.42,0.97,2.62,1
30.0,,,,,,,,,,0.03,,,,,,0.0,,,,,,,,,,,,,,,,0.003,,,,,1,93.73,-0.51,2.09,1.27,0.48,0.11,1.36,1
30.0,,,,,,,,,,0.04,,,,,,0.0007,,,,,,,,,,,,,,,,0.0045,,,,,2,92.76,-0.73,1.88,0.3,0.26,-0.1,0.41,2
30.0,,,,,,,,,,0.045,,,,,,0.0012,,,,,,,,,,,,,,,,0.0051,,,,,3,92.04,-0.99,1.99,-0.42,0.0,0.01,0.42,2
30.0,,,,,,,,,,0.5,,,,,,0.0012,,,,,,,,,,,,,,,,0.0048,,,,,4,92.37,-0.85,1.96,-0.09,0.14,-0.02,0.17,0
,,32.0,,,,,,,,1.8,,0.12,,,,,,,,,,,,,,,,,,,,0.071,,,,,1,77.57,0.36,6.09,0.66,-0.1,0.28,0.73,1
,,32.0,,,,,,,,1.8,,0.125,,,,,,,,,,,,,,,,,,,,0.0736,,,,,2,77.25,0.51,6.0,0.34,0.04,0.19,0.39,2
,,32.0,,,,,,,,1.76,,0.125,,,,,,,,,,,,,,,,,,,,0.0736,,,,,3,77.07,0.48,5.92,0.17,0.02,0.11,0.2,0
,,30.0,,,,,,,,0.015,,,,,,0.0015,,,,,,,,,,,,,,,,0.003,,,,,1,92.38,-0.86,1.03,0.08,0.13,-0.87,0.88,1
,,30.0,,,,,,,,0.05,,,,,,0.0025,,,,,,,,,,,,,,,,0.0025,,,,,2,93.32,-1.0,1.81,1.02,-0.01,-0.09,1.02,1
,,30.0,,,,,,,,0.065,,,,,,0.0025,,,,,,,,,,,,,,,,0.0045,,,,,3,92.28,-1.0,1.96,-0.03,0.0,0.06,0.07,0
,,30.0,,,,,,,,0.065,,,,,,0.0015,,,,,,,,,,,,,,,,0.0045,,,,,4,92.22,-0.98,1.82,-0.08,0.01,-0.08,0.11,0
,30.0,,,,,,,,,0.05,,,,,,0.0012,,,,,,,,,,,,,,,,0.0048,,,,,1,91.18,-0.83,2.6,-1.12,0.16,0.7,1.33,1
,30.0,,,,,,,,,0.01,,,,,,0.0014,,,,,,,,,,,,,,,,0.002,,,,,2,92.79,-0.98,2.3,0.49,0.01,0.4,0.63,1
,30.0,,,,,,,,,0.01,,,,,,0.0014,,,,,,,,,,,,,,,,0.003,,,,,3,92.28,-0.93,1.92,-0.02,0.07,0.02,0.07,0
,30.0,,,,,,,,,0.01,,,,,,0.0015,,,,,,,,,,,,,,,,0.003,,,,,4,92.39,-0.98,1.78,0.09,0.02,-0.12,0.15,0
,10.0,,,,,,,,,1.8,,0.3,,,,,,,,,,,,,,,,,,,,0.07,,,,,1,65.79,3.62,8.36,0.72,0.54,-0.32,0.95,1
